# r 	 gobs 	 nucpdfcalc 	 mpdfcalc
3.979999999999999982e+00 2.291094961421137111e+00 2.184786464642630932e+00 1.040674774775749017e-01
3.990000000000000213e+00 2.528701858275900882e+00 2.420740361396912288e+00 1.065698132308067064e-01
4.000000000000000000e+00 2.776581163729787693e+00 2.665074923762452919e+00 1.089642972312149377e-01
4.009999999999999787e+00 3.031655759257824378e+00 2.915251806970653448e+00 1.112479956378460422e-01
4.020000000000000462e+00 3.290376787307664141e+00 3.168374891587355080e+00 1.134181127254420829e-01
4.030000000000000249e+00 3.548819984856988796e+00 3.421241159350911332e+00 1.154719936488358134e-01
4.040000000000000036e+00 3.802799284743219044e+00 3.670404818207568809e+00 1.174071268968882309e-01
4.049999999999999822e+00 4.047992888973823256e+00 3.912252957501944461e+00 1.192211464352952305e-01
4.060000000000000497e+00 4.280076466942295710e+00 4.143090484787429695e+00 1.209118335384574000e-01
4.070000000000000284e+00 4.494857847324317923e+00 4.359231649021824140e+00 1.224771183114668760e-01
4.080000000000000071e+00 4.688407565296343726e+00 4.557095112900803713e+00 1.239150959875702368e-01
4.089999999999999858e+00 4.857179891846536535e+00 4.733299316972050086e+00 1.252240012212345877e-01
4.099999999999999645e+00 4.998119490490028127e+00 4.884754791627616832e+00 1.264022046184410664e-01
4.110000000000000320e+00 5.108749587016074400e+00 5.008750125596606040e+00 1.274482405327159174e-01
4.120000000000000107e+00 5.187238457529022462e+00 5.103028490207540457e+00 1.283607960717327856e-01
4.129999999999999893e+00 5.232442088241172407e+00 5.165851940086978011e+00 1.291387099496184021e-01
4.139999999999999680e+00 5.243921981089165740e+00 5.196051149653305501e+00 1.297809719300455356e-01
4.150000000000000355e+00 5.221938213886375912e+00 5.193058781863618911e+00 1.302867219963213807e-01
4.160000000000000142e+00 5.167418954937110342e+00 5.156925297766605354e+00 1.306552492564196921e-01
4.169999999999999929e+00 5.081908626363647485e+00 5.088316675707490688e+00 1.308859905915559230e-01
4.179999999999999716e+00 4.967497761122955602e+00 4.988494188630511417e+00 1.309785290588466600e-01
4.190000000000000391e+00 4.826738268166943513e+00 4.859277057233436281e+00 1.309325920514357033e-01
4.200000000000000178e+00 4.662548281595406685e+00 4.702989426858357191e+00 1.307480492376946468e-01
4.209999999999999964e+00 4.478111008051826047e+00 4.522393680136456595e+00 1.304249102843194896e-01
4.219999999999999751e+00 4.276771999447797512e+00 4.320612572045590127e+00 1.299633223686401662e-01
4.230000000000000426e+00 4.061939074860341670e+00 4.101043040083752977e+00 1.293635675030780918e-01
4.240000000000000213e+00 3.836988716743736649e+00 3.867264785837582597e+00 1.286260596775379572e-01
4.250000000000000000e+00 3.605182202644183320e+00 3.622946837267658537e+00 1.277513418338200035e-01
4.259999999999999787e+00 3.369594042201569106e+00 3.371755281562142770e+00 1.267400826850676177e-01
4.270000000000000462e+00 3.133054513376416939e+00 3.117265210510184126e+00 1.255930733935700372e-01
